2026-04-28 18:30:16.4371 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/1.1 GET http://localhost:5062/swagger/index.css - 304 - - 38.5860ms 
2026-04-28 18:30:16.4371 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/1.1 GET http://localhost:5062/swagger/swagger-ui-bundle.js - 304 - - 37.3038ms 
2026-04-28 18:30:16.4371 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/1.1 GET http://localhost:5062/swagger/swagger-ui-standalone-preset.js - - - 
2026-04-28 18:30:16.4371 | DEBUG | Microsoft.AspNetCore.Routing.Matching.DfaMatcher | No candidates found for the request path '/swagger/swagger-ui-standalone-preset.js' 
2026-04-28 18:30:16.4371 | DEBUG | Microsoft.AspNetCore.Routing.EndpointRoutingMiddleware | Request did not match any endpoints 
2026-04-28 18:30:16.4589 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/1.1 GET http://localhost:5062/swagger/index.js - - - 
2026-04-28 18:30:16.4589 | DEBUG | Microsoft.AspNetCore.Routing.Matching.DfaMatcher | No candidates found for the request path '/swagger/index.js' 
2026-04-28 18:30:16.4589 | DEBUG | Microsoft.AspNetCore.Routing.EndpointRoutingMiddleware | Request did not match any endpoints 
2026-04-28 18:30:16.4589 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HNL57C64DLT9" completed keep alive response. 
2026-04-28 18:30:16.4589 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HNL57C64DLTA" completed keep alive response. 
2026-04-28 18:30:16.4589 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/1.1 GET http://localhost:5062/swagger/index.js - 304 - - 0.8031ms 
2026-04-28 18:30:16.4589 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/1.1 GET http://localhost:5062/swagger/swagger-ui-standalone-preset.js - 304 - - 12.6699ms 
2026-04-28 18:30:16.4675 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/1.1 GET http://localhost:5062/_framework/aspnetcore-browser-refresh.js - - - 
2026-04-28 18:30:16.4675 | DEBUG | Microsoft.AspNetCore.Watch.BrowserRefresh.BrowserScriptMiddleware | Script injected: /_framework/aspnetcore-browser-refresh.js 
2026-04-28 18:30:16.4675 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HNL57C64DLTA" completed keep alive response. 
2026-04-28 18:30:16.4675 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/1.1 GET http://localhost:5062/_framework/aspnetcore-browser-refresh.js - 200 14917 application/javascript;+charset=utf-8 4.6058ms 
2026-04-28 18:30:16.4856 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/1.1 GET http://localhost:5062/_vs/browserLink - - - 
2026-04-28 18:30:16.5415 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HNL57C64DLTA" completed keep alive response. 
2026-04-28 18:30:16.5415 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/1.1 GET http://localhost:5062/_vs/browserLink - 200 - text/javascript;+charset=UTF-8 56.1933ms 
2026-04-28 18:30:16.7823 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/1.1 GET http://localhost:5062/swagger/v1/swagger.json - - - 
2026-04-28 18:30:16.7823 | DEBUG | Microsoft.AspNetCore.Routing.Matching.DfaMatcher | No candidates found for the request path '/swagger/v1/swagger.json' 
2026-04-28 18:30:16.7823 | DEBUG | Microsoft.AspNetCore.Routing.EndpointRoutingMiddleware | Request did not match any endpoints 
2026-04-28 18:30:16.7983 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HNL57C64DLTA" completed keep alive response. 
2026-04-28 18:30:16.7983 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/1.1 GET http://localhost:5062/swagger/v1/swagger.json - 200 - application/json;charset=utf-8 16.1579ms 
2026-04-28 18:30:16.8104 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/1.1 GET http://localhost:5062/swagger/favicon-32x32.png - - - 
2026-04-28 18:30:16.8104 | DEBUG | Microsoft.AspNetCore.Routing.Matching.DfaMatcher | No candidates found for the request path '/swagger/favicon-32x32.png' 
2026-04-28 18:30:16.8104 | DEBUG | Microsoft.AspNetCore.Routing.EndpointRoutingMiddleware | Request did not match any endpoints 
2026-04-28 18:30:16.8104 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HNL57C64DLTA" completed keep alive response. 
